year,licencersn,licencenumber,licencerevisionnumber,businessname,businesstradename,status,issueddate,expireddate,businesstype,businesssubtype,unit,unittype,house,street,city,province,country,postalcode,localarea,numberofemployees,feepaid,extractdate,geom,geo_point_2d,formatted_tradename
23,4175831,23-147970,00,JJ Bean Inc,JJ Bean House of Coffee,Issued,2022-12-12T19:52:07+00:00,2023-12-31,Restaurant Class 1,No Liquor Service,NA,NA,2206,COMMERCIAL DRIVE,Vancouver,BC,CA,V5N 4B6,Grandview-Woodland,0,891,2023-08-20T07:09:42+00:00,"{""coordinates"": [-123.069329595801, 49.2649459591063], ""type"": ""Point""}","49.2649459591063, -123.069329595801",jj_bean
23,4175832,23-147971,00,JJ Bean Inc,JJ Bean House of Coffee,Issued,2022-12-12T19:53:42+00:00,2023-12-31,Restaurant Class 1,No Liquor Service,NA,NA,402,DAVIE ST,Vancouver,BC,CA,V6B 2G3,Downtown,0,891,2023-08-20T07:09:42+00:00,"{""coordinates"": [-123.123890407304, 49.2752085187162], ""type"": ""Point""}","49.2752085187162, -123.123890407304",jj_bean
23,4175833,23-147972,00,K M F Hodlings Ltd,Tim Horton's,Issued,2022-12-13T19:41:44+00:00,2023-12-31,Restaurant Class 1,No Liquor Service,118,Unit,1055,W Georgia St,Vancouver,BC,CA,V6E 3P3,Downtown,27,891,2023-08-20T07:09:42+00:00,"{""coordinates"": [-123.121463646921, 49.2852447964792], ""type"": ""Point""}","49.2852447964792, -123.121463646921",tim_hortons
23,4175834,23-147973,00,A O K Holdings Ltd,Tim Horton's,Issued,2022-12-13T19:44:42+00:00,2023-12-31,Restaurant Class 1,No Liquor Service,NA,NA,865,W Broadway,Vancouver,BC,CA,NA,Fairview,28,891,2023-08-20T07:09:42+00:00,"{""coordinates"": [-123.123518561937, 49.2636535149748], ""type"": ""Point""}","49.2636535149748, -123.123518561937",tim_hortons
23,4175870,23-148009,00,Compass Group Canada Ltd,PHSA-BC-Tim Horton's Unit # 63203,Issued,2023-01-17T23:06:52+00:00,2023-12-31,Restaurant Class 1,No Liquor Service,63203,Unit,4500,OAK ST,Vancouver,BC,CA,V6H 3N1,South Cambie,14,980,2023-08-20T07:09:42+00:00,"{""coordinates"": [-123.123822766676, 49.2445543458304], ""type"": ""Point""}","49.2445543458304, -123.123822766676",tim_hortons
23,4175882,23-148021,00,Starbucks Coffee Canada Inc,Starbucks Coffee,Issued,2023-01-13T22:26:36+00:00,2023-12-31,Restaurant Class 1,No Liquor Service,140,Unit,999,Canada Place,Vancouver,BC,CA,NA,Downtown,0,891,2023-08-20T07:09:42+00:00,"{""coordinates"": [-123.111448402619, 49.2881200494656], ""type"": ""Point""}","49.2881200494656, -123.111448402619",starbucks
23,4175883,23-148022,00,Starbucks Coffee Canada Inc,Starbucks Coffee,Issued,2023-01-13T22:27:20+00:00,2023-12-31,Restaurant Class 1,No Liquor Service,NA,NA,753,TERMINAL AV,Vancouver,BC,CA,V6A 2M2,Strathcona,0,891,2023-08-20T07:09:42+00:00,"{""coordinates"": [-123.087674198876, 49.2710979677183], ""type"": ""Point""}","49.2710979677183, -123.087674198876",starbucks
23,4175886,23-148025,00,Starbucks Coffee Canada Inc,Starbucks Coffee,Issued,2023-01-13T18:15:06+00:00,2023-12-31,Restaurant Class 1,No Liquor Service,NA,NA,1795,DAVIE ST,Vancouver,BC,CA,V6G 2M9,West End,0,891,2023-08-20T07:09:42+00:00,"{""coordinates"": [-123.141462815764, 49.2872857702813], ""type"": ""Point""}","49.2872857702813, -123.141462815764",starbucks
23,4175887,23-148026,00,Starbucks Coffee Canada Inc,Starbucks Coffee,Issued,2023-01-13T18:16:00+00:00,2023-12-31,Restaurant Class 1,No Liquor Service,NA,NA,2035,YUKON ST,Vancouver,BC,CA,V5Y 3W3,Mount Pleasant,0,891,2023-08-20T07:09:42+00:00,"{""coordinates"": [-123.113233378474, 49.2670876449973], ""type"": ""Point""}","49.2670876449973, -123.113233378474",starbucks
23,4175888,23-148027,00,Starbucks Coffee Canada Inc,Starbucks Coffee,Issued,2023-01-13T18:16:52+00:00,2023-12-31,Restaurant Class 1,No Liquor Service,NA,NA,3665,KINGSWAY,Vancouver,BC,CA,NA,Renfrew-Collingwood,0,891,2023-08-20T07:09:42+00:00,"{""coordinates"": [-123.02419552672, 49.2326670344327], ""type"": ""Point""}","49.2326670344327, -123.02419552672",starbucks
23,4175891,23-148030,00,Starbucks Coffee Canada Inc,Starbucks Coffee,Issued,2023-01-13T18:22:17+00:00,2023-12-31,Restaurant Class 1,No Liquor Service,NA,NA,580,BUTE ST,Vancouver,BC,CA,V6E 3M1,Downtown,0,891,2023-08-20T07:09:42+00:00,"{""coordinates"": [-123.12345768313, 49.287784331778], ""type"": ""Point""}","49.287784331778, -123.12345768313",starbucks
23,4175893,23-148032,00,Starbucks Coffee Canada Inc,Starbucks Coffee,Issued,2023-01-13T18:24:21+00:00,2023-12-31,Restaurant Class 1,No Liquor Service,NA,NA,2840,BENTALL ST,Vancouver,BC,CA,V5M 4H4,Renfrew-Collingwood,0,891,2023-08-20T07:09:42+00:00,"{""coordinates"": [-123.031196074558, 49.2591534796541], ""type"": ""Point""}","49.2591534796541, -123.031196074558",starbucks
23,4175897,23-148036,00,JJ Bean Inc,JJ Bean Coffee Roaster,Issued,2022-12-13T21:42:57+00:00,2023-12-31,Restaurant Class 1,No Liquor Service,NA,NA,1188,ALBERNI ST,Vancouver,BC,CA,V6E 1A5,West End,136,891,2023-08-20T07:09:42+00:00,"{""coordinates"": [-123.125682236504, 49.2861554000034], ""type"": ""Point""}","49.2861554000034, -123.125682236504",jj_bean
23,4175915,23-148054,00,Caterina Restaurant Corp,McDonalds,Issued,2022-12-20T23:55:09+00:00,2023-12-31,Restaurant Class 1,No Liquor Service,NA,NA,4445,MAIN ST,Vancouver,BC,CA,V5V 3R2,Riley Park,40,891,2023-08-20T07:09:42+00:00,"{""coordinates"": [-123.101683086526, 49.2451992513478], ""type"": ""Point""}","49.2451992513478, -123.101683086526",mcdonalds
23,4176189,23-148328,00,J K Investments Ltd,Tim Horton's,Issued,2022-11-25T02:24:54+00:00,2023-12-31,Restaurant Class 1,No Liquor Service,NA,NA,1635,COMMERCIAL DRIVE,Vancouver,BC,CA,V5L 3Y3,Grandview-Woodland,30,891,2023-08-20T07:09:42+00:00,"{""coordinates"": [-123.070347971153, 49.2698637023505], ""type"": ""Point""}","49.2698637023505, -123.070347971153",tim_hortons
23,4176214,23-148353,00,MJK Ventures Ltd,Tim Hortons,Issued,2022-11-25T02:27:59+00:00,2023-12-31,Restaurant Class 1,No Liquor Service,NA,NA,306,TERMINAL AV,Vancouver,BC,CA,V6A 3W9,Strathcona,30,891,2023-08-20T07:09:42+00:00,"{""coordinates"": [-123.097489979909, 49.2719787198568], ""type"": ""Point""}","49.2719787198568, -123.097489979909",tim_hortons
23,4176215,23-148354,00,0863865 BC Ltd,Tim Hortons,Issued,2022-12-13T19:02:11+00:00,2023-12-31,Restaurant Class 1,No Liquor Service,NA,NA,463,ROBSON ST,Vancouver,BC,CA,V6B 6L9,Downtown,25,891,2023-08-20T07:09:42+00:00,"{""coordinates"": [-123.117201788832, 49.2801741370593], ""type"": ""Point""}","49.2801741370593, -123.117201788832",tim_hortons
23,4176312,23-148451,00,JK Holdings Ltd,Tim Hortons,Issued,2022-11-25T02:34:37+00:00,2023-12-31,Restaurant Class 1,No Liquor Service,NA,NA,108,W PENDER ST,Vancouver,BC,CA,V6B 0K4,Downtown,30,891,2023-08-20T07:09:42+00:00,"{""coordinates"": [-123.108101804313, 49.2808325956218], ""type"": ""Point""}","49.2808325956218, -123.108101804313",tim_hortons
23,4176370,23-148509,00,JJ Bean Inc,JJ Bean Coffee Roaster,Issued,2022-12-13T22:36:13+00:00,2023-12-31,Restaurant Class 1,No Liquor Service,NA,NA,4287,FRASER ST,Vancouver,BC,CA,V5V 4G1,Riley Park,0,891,2023-08-20T07:09:42+00:00,"{""coordinates"": [-123.090580429341, 49.2467585663748], ""type"": ""Point""}","49.2467585663748, -123.090580429341",jj_bean
23,4176421,23-148560,00,JJ Bean Inc,JJ Bean Coffee Roaster,Issued,2022-12-13T22:37:14+00:00,2023-12-31,Restaurant Class 1,No Liquor Service,NA,NA,188,W 1ST AV,Vancouver,BC,CA,V5Y 1A4,Mount Pleasant,0,891,2023-08-20T07:09:42+00:00,"{""coordinates"": [-123.107969884135, 49.2699762831256], ""type"": ""Point""}","49.2699762831256, -123.107969884135",jj_bean
23,4176559,23-148698,00,THB Donuts Corp,Tim Horton's,Issued,2022-12-29T03:55:16+00:00,2023-12-31,Restaurant Class 1,No Liquor Service,NA,NA,3451,KINGSWAY,Vancouver,BC,CA,V5R 5L3,Renfrew-Collingwood,20,891,2023-08-20T07:09:42+00:00,"{""coordinates"": [-123.031173901037, 49.2322565728136], ""type"": ""Point""}","49.2322565728136, -123.031173901037",tim_hortons
23,4176560,23-148699,00,973 Food and Beverage Limited,The Blenz Coffee @ Pulse,Issued,2022-12-10T05:59:03+00:00,2023-12-31,Restaurant Class 1,No Liquor Service,NA,NA,2502,MAPLE ST,Vancouver,BC,CA,V6J 4Y1,Kitsilano,6,891,2023-08-20T07:09:42+00:00,"{""coordinates"": [-123.149961147855, 49.2634653892904], ""type"": ""Point""}","49.2634653892904, -123.149961147855",blenz
23,4176563,23-148702,00,Starbucks Coffee Canada Inc,Starbucks Coffee #24612,Issued,2023-01-13T18:53:23+00:00,2023-12-31,Restaurant Class 1,No Liquor Service,NA,NA,860,DRAKE ST,Vancouver,BC,CA,V6Z 2P2,Downtown,0,891,2023-08-20T07:09:42+00:00,"{""coordinates"": [-123.129734870585, 49.2770193392467], ""type"": ""Point""}","49.2770193392467, -123.129734870585",starbucks
23,4176583,23-148722,00,Starbucks Coffee Canada Inc,Starbucks Coffee #22372,Issued,2023-01-13T18:52:10+00:00,2023-12-31,Restaurant Class 1,No Liquor Service,NA,NA,472,SW MARINE DRIVE,Vancouver,BC,CA,V5X 0C4,Marpole,15,891,2023-08-20T07:09:42+00:00,"{""coordinates"": [-123.11615563155, 49.209694841611], ""type"": ""Point""}","49.209694841611, -123.11615563155",starbucks
23,4176626,23-148765,00,1062682 BC Ltd,Starbucks Wall Centre,Issued,2023-01-11T18:18:58+00:00,2023-12-31,Restaurant Class 1,No Liquor Service,NA,NA,1088,BURRARD ST,Vancouver,BC,CA,V6Z 2R9,Downtown,16,891,2023-08-20T07:09:42+00:00,"{""coordinates"": [-123.12653676373, 49.2801175077101], ""type"": ""Point""}","49.2801175077101, -123.12653676373",starbucks
23,4176713,23-148852,00,Thakkar Hospitality BC - LM Inc,Tim Hortons #7387,Issued,2023-01-11T11:56:54+00:00,2023-12-31,Restaurant Class 1,No Liquor Service,NA,NA,5896,FRASER ST,Vancouver,BC,CA,V5W 2Z5,Sunset,30,891,2023-08-20T07:09:42+00:00,"{""coordinates"": [-123.090196180655, 49.2312269773209], ""type"": ""Point""}","49.2312269773209, -123.090196180655",tim_hortons
